city,coordinates,country,favorite_count,followers_count,id,location,timestamp,tweet_text,username,party,is_duplicate
 , , ,0.0,373.0,1.1194957833787596e+18,"b'New Delhi, India'",2019-04-20 06:59:28,I dont know congress engag talk aap they announc candid delhi today If congress go alon delhi may still win one two congress worker demoralis aapcongressalli nonsens aap parti hyper,b'PRAVESHPARAS',Congress,False
 , , ,0.0,3982.0,1.1194957609350472e+18,"b'New Delhi, India'",2019-04-20 06:59:23,manish sisodia lash cong wast aap time allianc aapcong allianc In delhi aap manishsisodia allianc delhi loksabhaelect tennewsdotin,b'TenNewsDotIn',Others,False
 , , ,0.0,1659.0,1.1194939840475668e+18,b'',2019-04-20 06:52:19, deputi CM msisodia rajya sabha MP sanjayazadsln join aam aadmi parti south delhi candid raghavchadha mega roadshow sunday ahead file nomin join aam aadmi revolut april AM aap,b'AbhiArchive',Others,False
 , , ,0.0,78.0,1.1194913607577764e+18,b'',2019-04-20 06:41:54, aap wed congress demand side keep away join hand how kejriw join hand congress accus corrupt year,b'jaspreet20',Congress,False
 , , ,0.0,0.0,1.1194898665788088e+18,b'',2019-04-20 06:35:57,RT nomin thank support jakhar aap westdelhijakhar loksabha,b'Nikunj81103072',Others,False
 , , ,9.0,394.0,1.1194881141399183e+18,"b'New Delhi, India'",2019-04-20 06:29:00,nomin thank support jakhar aap westdelhijakhar loksabha,b'bsjakharaap',Others,False
 , , ,0.0,20616.0,1.119487663281668e+18,b'New Delhi',2019-04-20 06:27:12,RT sisodia say dushyant chautala agre allianc congress jjp aap haryana chautala said,b'THNewDelhi',Congress,False
 , , ,0.0,315.0,1.1194871962921124e+18,"b'New Delhi, India'",2019-04-20 06:25:21,sisodia say dushyant chautala agre allianc congress jjp aap haryana chautala said multipl occas jjp wont form allianc congress loksabhaelect,b'ikasnik',Congress,False
 , , ,0.0,308.0,1.1194856335907471e+18,"b'Gurgaon, India'",2019-04-20 06:19:08, aap want leav even slight possibl bjp win,b'KjdSingh',BJP,False
 , , ,0.0,24.0,1.119481571730436e+18,b'',2019-04-20 06:03:00,who better arvindkejriw aap hardikpatel patidarandolan,b'IP_Circus',Others,False
 , , ,0.0,13.0,1.1194814477508568e+18,b'India',2019-04-20 06:02:30,parti seat beg tieup parti zero seat person proof sheiladixit beg tie better india log andhbhakt hume kaht hain floortestforanothergadhbandhan congress aap,b'itsmeabhiraj',Congress,False
 , , ,0.0,2022.0,1.1194803024752804e+18,b'',2019-04-20 05:57:57,frustrat beg allianc In end even call pure polit parti turn adulter atroci panhandl aap bechaar palti aaptard never thought situat,b'ChowkidarModi',Congress,False
 , , ,1.0,517.0,1.1194793481368288e+18,b'Devils Paradise',2019-04-20 05:54:10, aap wld get better deal sissymanysh sell,b'Dabaa_K_Maru',Others,False
 , , ,1.0,1659.0,1.1194789582260593e+18,b'',2019-04-20 05:52:37, prime minist narendramodi defend openli endors terror accus what modi ji aap,b'AbhiArchive',BJP,False
 , , ,0.0,1211.0,1.1194789033855386e+18,b'Freedom',2019-04-20 05:52:24,RT live press show beg lot compromis lot tie final fail everi,b'darkmoneyusa',Others,False
 , , ,0.0,498.0,1.1194788367127264e+18,b'india',2019-04-20 05:52:08,live press show beg lot compromis lot tie final fail everyon know polit ventur start oppos corrupt congress beg aap destroy,b'boobna',Congress,False
 , , ,0.0,15.0,1.1194787840492012e+18,"b'Dubai, United Arab Emirates'",2019-04-20 05:51:55,aap time goe beg bone littl meat kick tire shameless persist visit revisit final offer meatless lick keep shut getout,b'AshokChowkidar',Congress,False
 , , ,0.0,2.0,1.1194777610121585e+18,b'',2019-04-20 05:47:51,RT I want known good deed goodmorn aap westdelhijakhar loksabhaelect voteforchang fullstat,b'Chancha71507528',Others,False
 , , ,0.0,155.0,1.119477689663066e+18,b'New Delhi ',2019-04-20 05:47:34, how mani mp aap delhi,b'jyosatu',Others,False
 , , ,0.0,36.0,1.1194769127770767e+18,b'',2019-04-20 05:44:29,aap like crazi girlfriend wont stop stalk allianc cong electionswithnew electionswithtim elect,b'Symmetrical_I',Others,False
 , , ,0.0,1659.0,1.1194763180291318e+18,b'',2019-04-20 05:42:07, press confer deputi CM msisodia senior leader amp rajya sabha MP sanjayazadsln lok sabha elect allianc watch here sad aap,b'AbhiArchive',Others,False
 , , ,0.0,147.0,1.1194738526213898e+18,"b'Stockholm, Sweden'",2019-04-20 05:32:19, aap start beco fight congress centr aapcongressallianceslap peopl support aap light candl,b'priyamo',Congress,False
 , , ,0.0,0.0,1.119470839043326e+18,b'',2019-04-20 05:20:21,RT get great respons local fazilka door door real success campaign aap,b'ArttatranaS',Others,False
 , , ,1.0,624.0,1.1194687360947978e+18,b'India',2019-04-20 05:12:00, whenev troubl use sentenc peopl countri want benefit peopl delhi funni aap never ask opinion peopl delhi countri allianc congress,b'upindiaup',Congress,False
 , , ,0.0,207.0,1.11946824716902e+18,b'',2019-04-20 05:10:03,RT battleof abkibaarkiskisarkar congress ,b'SweetCookiesme',Congress,False
 , , ,0.0,269.0,1.1194682009100984e+18,b'',2019-04-20 05:09:52,RT aap amp jjp make haryana allianc offici latter name candid parti decid go ahead without congress aap,b'Ajay97025111',Congress,False
 , , ,0.0,459.0,1.1194678682093444e+18,b'',2019-04-20 05:08:33,battleof abkibaarkiskisarkar congress bjp modi aap kejriw elect delhi delhielect delhielect how elect honest govt save taxpay money,b'netas_r_corrupt',Both,False
 , , ,0.0,4.0,1.119465835045761e+18,b'Hisar Haryana',2019-04-20 05:00:28, conress jjp aap deshdrohiyo parti ka support badh rha h,b'KuldeepSandol',Others,False
 , , ,0.0,96.0,1.1194634202298244e+18,b'',2019-04-20 04:50:52,RT hyderabad capit citi telangana newest amp youngest state india extend support fullstatehooddelhi,b'arikgrover',Others,False
 , , ,0.0,22.0,1.1194629032608808e+18,b'',2019-04-20 04:48:49,RT To watch full video click elect namoagain congresshaina aap,b'MayankDixit703',Congress,False
 , , ,0.0,955.0,1.1194581670441984e+18,"b'Noida, India'",2019-04-20 04:30:00,Go ahead tell u parti your cult member iD idfootwear beingcult shoe footwear polit politicalparti game fun quiz generalelect elect elect bjp aap congress,b'IDFootwear_',Both,False
 , , ,0.0,15.0,1.1194536744245494e+18,b'muzaffarpur',2019-04-20 04:12:09, two new politicalantibiot introduce market treat viral deseas associ congress tmc aap samajwadiparti baspa narendramicin amp modicilin plea tri,b'KaushikSumiran',Both,False
 , , ,0.0,137.0,1.119447565831852e+18,b'Planet Earth!',2019-04-20 03:47:52,the aap amp inc allianc filmi both much natak eventu get bed togeth congress loksabhaelect,b'Nshaju',Congress,False
Aurangabad, ,India,0.0,179.0,1.1194422792177788e+18,b'',2019-04-20 03:26:52, isnt redress platform aap We definit feel sorri made ineffect elect,b'randadrr',Others,False
New Delhi, ,India,0.0,3138.0,1.1194411092000564e+18,b'New Delhi',2019-04-20 03:22:13,aap send final feeler congress HT desper attempt cong allianc aap electionexpress elect elect desperatemov polit,b'ProbasiBangali',Congress,False
 , , ,0.0,56842.0,1.1194402024040244e+18,"b'N 161,Flat No 101,Thapar House'",2019-04-20 03:18:37,lspoll aap postpon nomin candid say last chanc congress,b'CatchNews',Congress,False
Gurgaon,"{'type': 'Point', 'coordinates': [77.028908, 28.46096]}",India,0.0,212.0,1.1194395349352244e+18,"b'Nainital, Uttarakhand.'",2019-04-20 03:15:57,parti differ atishiaap bjp sadhvipragya indianpolic sahe aap indianelect malegaon hemantkarkar gurgaon haryana,b'VaibhavKabdwal',BJP,False
